image_path,label
data/demo_dataset/real/real_0000.png,0
data/demo_dataset/fake/fake_0000.png,1
data/demo_dataset/real/real_0000_jpeg60.png,0
data/demo_dataset/fake/fake_0000_jpeg60.png,1
data/demo_dataset/real/real_0000_resize.png,0
data/demo_dataset/fake/fake_0000_resize.png,1
data/demo_dataset/real/real_0000_crop.png,0
data/demo_dataset/fake/fake_0000_crop.png,1
data/demo_dataset/real/real_0001.png,0
data/demo_dataset/fake/fake_0001.png,1
data/demo_dataset/real/real_0001_jpeg60.png,0
data/demo_dataset/fake/fake_0001_jpeg60.png,1
data/demo_dataset/real/real_0001_resize.png,0
data/demo_dataset/fake/fake_0001_resize.png,1
data/demo_dataset/real/real_0001_crop.png,0
data/demo_dataset/fake/fake_0001_crop.png,1
data/demo_dataset/real/real_0002.png,0
data/demo_dataset/fake/fake_0002.png,1
data/demo_dataset/real/real_0002_jpeg60.png,0
data/demo_dataset/fake/fake_0002_jpeg60.png,1
data/demo_dataset/real/real_0002_resize.png,0
data/demo_dataset/fake/fake_0002_resize.png,1
data/demo_dataset/real/real_0002_crop.png,0
data/demo_dataset/fake/fake_0002_crop.png,1
data/demo_dataset/real/real_0003.png,0
data/demo_dataset/fake/fake_0003.png,1
data/demo_dataset/real/real_0003_jpeg60.png,0
data/demo_dataset/fake/fake_0003_jpeg60.png,1
data/demo_dataset/real/real_0003_resize.png,0
data/demo_dataset/fake/fake_0003_resize.png,1
data/demo_dataset/real/real_0003_crop.png,0
data/demo_dataset/fake/fake_0003_crop.png,1
data/demo_dataset/real/real_0004.png,0
data/demo_dataset/fake/fake_0004.png,1
data/demo_dataset/real/real_0004_jpeg60.png,0
data/demo_dataset/fake/fake_0004_jpeg60.png,1
data/demo_dataset/real/real_0004_resize.png,0
data/demo_dataset/fake/fake_0004_resize.png,1
data/demo_dataset/real/real_0004_crop.png,0
data/demo_dataset/fake/fake_0004_crop.png,1
data/demo_dataset/real/real_0005.png,0
data/demo_dataset/fake/fake_0005.png,1
data/demo_dataset/real/real_0005_jpeg60.png,0
data/demo_dataset/fake/fake_0005_jpeg60.png,1
data/demo_dataset/real/real_0005_resize.png,0
data/demo_dataset/fake/fake_0005_resize.png,1
data/demo_dataset/real/real_0005_crop.png,0
